journal,ISSN
"Abyss (Вопросы философии,",2587-7534
Academia. Архитектура и,2077-9038
Acta biomedica scientifica,2541-9420
Acta Linguistica Petropolitana.,2306-5737
Acta medica Eurasica,2413-4864
Advanced Engineering Research,2687-1653
Advances in Law Studies,2409-5087
AlfaBuild,2658-5553
AlterEconomics,2782-6201
Ars Administrandi,2218-9173
Art Logos,2541-9803
Baikal Research Journal,2411-6262
BENEFICIUM,2713-1629
Biological Communications,2542-2154
Biomedical Chemistry: Research,2618-7531
Biomedical Photonics,2413-9432
BRICS Journal of Economics,2712-7702
BULLETIN OF THE,2618-6942
Cardioсоматика,2221-7185
CATHEDRA – КАФЕДРА.,2222-2154
Caucasian Science Bridge,2658-5820
CIS Iron and Steel Review,2072-0815
Children`s medicine of the North-,2221-2582
Сomponents of scientific and,1997-9347
Consilium Medicum,2075-1753
Consortium Psychiatricum,2712-7672
Construction and Geotechnics,2687-0894
CONTINUUM. Математика.,2500-1957
Dental Forum,2077-6632
"Diagnostics, Resource and",2410-9908
Digital Diagnostics,2712-8490
Discrete and Continuous Models,2658-4670
E-Management,2658-3445
EDUCATIONAL BULLETIN,2686-6846
Energy Systems Research,2618-9992
European Social Science Journal,2079-5513
FOCUS Эндокринология,2713-0177
Folia Otorhinolaryngologiae et,2310-3825
Frontier Materials &,2782-4039
Eurasian mining (Горная,2072-0823
Ex Jure,2619-0648
Head and Neck / Голова и шея.,2310-5194
"Health, Food & Biotechnology",2712-7648
Historia provinciae – журнал,2587-8344
Hominum,2712-8806
Horizon. Феноменологические,2226-5260
Human Progress,2414-4916
Hypothekai,2587-7127
International agricultural journal,2588-0209
International Journal for,1524-5845
International Journal of Advanced,2328-1391
International Journal of Medicine,2658-3313
International Journal of Open,2307-8162
International Law Journal /,2658-5693
iPolytech Journal,2782-4004
Issues in Elitology (Вопросы,2712-8415
Journal «Bulletin Social-,2658-5561
Journal of Advanced Materials,2782-2192
Journal of Applied Economic,2712-7435
Journal of Economic Regulation,2078-5429
Journal of Bioinformatics and,2530-1381
Journal of Institutional Studies,2076-6297
Journal of Language and,2411-7390
Journal of Monetary Economics,2782-4586
Journal of New Economy,2658-5081
Journal of regional and,2782-1927
Journal of Siberian Medical,2542-1174
Jus strictum,3034-2945
KANT : Social science &,2305-8757
Kavkaz-forum,2687-0754
Language in Africa,2686-8946
Legal Bulletin / Юридический,2658-5448
Legal Concept = Правовая,2587-8115
Legal Issues in the Digital Age,2713-2749
Logos et Praxis,2587-9715
Lex russica,1729-5920
Litera,2409-8698
Magazine of Civil Engineering,2712-8172
MALIGNANT TUMOURS,2224-5057
Materials. Technologies. Design,2658-7572
MD-Onco,2782-3202
Means of communication,2782-2141
MEDICAL &,2686-6838
Medicine and health care,2658-4212
Medicine: theory and practice /,2658-4190
Microbiology Independent,2500-2236
Minbar. Islamic Studies,2618-9569
Modern Economy Success,2500-3747
Modern Humanities Success /,2618-7175
